AR,PMEPA1
ARNT,CYP1B1
ARNT,CYP1B1
ATF1,FTH1
ATF1,FTH1
ATF1,LDHA
ATF2,MAP3K1
ATF3,ADIPOR1
ATF3,ADIPOR2
ATF3,AK4
ATF3,ID1
ATF3,LDLR
ATF3,TP53
ATF4,ATF3
ATF4,ATF3
ATF4,HSPA5
ATF4,VEGFA
ATF4,VEGFA
ATF5,DISC1
ATF5,ID1
ATF6,ATP2A2
ATF6,SRF
BACH1,HMOX1
BACH1,HMOX1
BACH2,BCL2
BCL3,NFKB1
BCL3,NFKB1
BCL3,RELA
BCL6,BCL6
BRCA1,ASPM
BRCA1,BRCA2
BRCA1,FOS
BRCA1,HNRNPA2B1
BRCA1,MAD2L1
CEBPA,CD163
CEBPA,CSF3R
CEBPA,CXCR2
CEBPA,ELANE
CEBPA,ELANE
CEBPA,GAPDH
CEBPA,HK3
CEBPA,HOMER3
CEBPA,HSD17B11
CEBPA,HSPA4
CEBPA,ICAM1
CEBPA,ID1
CEBPA,INSR
CEBPA,ITGAX
CEBPA,MSR1
CEBPA,PCK2
CEBPA,S100A9
CEBPA,SFTPD
CEBPA,SOCS3
CEBPA,SPI1
CEBPA,STAT3
CEBPB,ADM
CEBPB,ADM
CEBPB,BCL2L1
CEBPB,CDKN1A
CEBPB,CSF3R
CEBPB,CSRP1
CEBPB,CXCL8
CEBPB,CXCL8
CEBPB,DAPK1
CEBPB,FURIN
CEBPB,HP
CEBPB,HSF1
CEBPB,IL10
CEBPB,IL1B
CEBPB,IL1B
CEBPB,INSR
CEBPB,IRF4
CEBPB,PCK2
CEBPB,PTGS2
CEBPB,PTGS2
CEBPB,PTGS2
CEBPB,PTPN13
CEBPB,S100A9
CEBPB,SFTPD
CEBPB,SLC19A1
CEBPB,TNF
CEBPB,TNFAIP6
CEBPB,TNFAIP6
CEBPB,TOP1
CEBPD,C3
CEBPD,GADD45G
CEBPD,GAPDH
CEBPD,PPARG
CEBPD,PTGS2
CEBPD,TNFAIP6
CEBPE,SPI1
CEBPG,SFTPD
CREB1,GSK3B
CREB1,MITF
CREB5,ATP6V0E1
CREM,CCL4
CREM,CD247
CREM,FASLG
CTCF,NF1
CTCF,RAD21
CUX1,ECT2
CUX1,RACGAP1
E2F1,ASF1B
E2F1,ATAD2
E2F1,AURKB
E2F1,BIRC5
E2F1,BIRC5
E2F1,BIRC5
E2F1,BRCA1
E2F1,BRCA1
E2F1,CCNE1
E2F1,CDC6
E2F1,CDCA7
E2F1,CDK1
E2F1,CDKN1C
E2F1,CDKN2A
E2F1,CHEK1
E2F1,DHFR
E2F1,DNMT1
E2F1,E2F1
E2F1,ECT2
E2F1,FANCA
E2F1,FOXM1
E2F1,GINS3
E2F1,HMGA1
E2F1,KIF2C
E2F1,KIF2C
E2F1,MCM5
E2F1,MCM8
E2F1,MYBL2
E2F1,PCNA
E2F1,PIN1
E2F1,RAD51
E2F1,RBM38
E2F1,RPA2
E2F1,RRM1
E2F1,RRM2
E2F1,SERPINE1
E2F1,SIVA1
E2F1,SIVA1
E2F1,TNFSF11
E2F1,TOP2A
E2F1,TYMS
E2F1,TYMS
E2F1,UHRF1
E2F1,UHRF1
E2F3,CDK1
E2F3,CDKN1A
E2F3,CUX1
E2F3,MAP3K5
E2F3,PLK1
E2F4,CUX1
E2F7,E2F1
E2F8,E2F1
EGR1,ATF3
EGR1,ATF3
EGR1,CDKN1A
EGR1,FAS
EGR1,FASLG
EGR1,HIF1A
EGR1,LMTK2
EGR1,MMP14
EGR1,PLAUR
EGR1,PTGS2
EGR1,PTP4A1
EGR1,SLC4A2
EGR1,SLC4A2
EGR1,SYN2
EGR1,TNF
EGR1,TNFSF10
EGR1,UBE2S
EGR1,VEGFA
EGR1,VEGFA
EGR1,VEGFA
EGR2,FASLG
EGR2,PTGS2
ELF1,FLI1
ELF1,MEIS1
ELF4,CXCL8
ELF4,CXCL8
EOMES,IFNG
EP300,CDKN1A
EP300,CDKN1A
EP300,CREBBP
EP300,CYBB
EP300,NFKB1
EP300,RELA
EP300,VEGFA
EP300,YY1
ERG,ERG
ESRRA,AHR
ETS1,ANGPT2
ETS1,CXCR4
ETS1,HPGD
ETS1,IL2RB
ETS1,SPRY2
ETS2,ANPEP
ETS2,CD163
ETS2,CDKN1A
ETS2,CXCL8
ETS2,EGR1
ETS2,ERG
ETS2,ICAM1
ETS2,MDM2
ETS2,MMP9
ETS2,MSR1
ETS2,TP53
ETV6,CDKN1A
ETV7,ETV6
EZH2,ADRB2
EZH2,BRCA1
EZH2,CCNE1
EZH2,CDKN2A
EZH2,KPNB1
EZH2,PCNA
EZH2,RUNX3
FLI1,EP300
FLI1,EYA3
FLI1,FLI1
FLI1,GP9
FLI1,ITGA2B
FOS,BATF3
FOS,CASP9
FOS,CSTA
FOS,CXCL8
FOS,FAS
FOS,FOS
FOS,MMP9
FOS,MMP9
FOS,MMP9
FOS,NFKB1
FOS,PCK2
FOS,PDHA1
FOS,PLAUR
FOS,PTGS2
FOS,PTGS2
FOS,SMAD4
FOS,SMAD7
FOS,SPI1
FOS,TP53
FOSB,CXCL8
FOSB,TGFB1
FOSB,TIMP1
FOSB,TIMP1
FOSL1,PLAUR
FOSL2,BCL6
FOSL2,FOSL1
FOSL2,MDM2
FOSL2,MYB
FOSL2,PLAUR
FOSL2,TGFB1
FOSL2,TIMP1
FOXM1,BRIP1
FOXO1,CDKN1B
FOXO1,CXCR4
FOXO1,KLF2
FOXO1,TXNIP
FOXO3,BCL2L11
FOXO3,BCL6
FOXO3,CDKN2B
FOXO3,PIK3CA
FOXO3,SIRT1
FOXO3,TNFSF10
FOXO3,VEGFA
FOXO4,BCL6
FOXO4,HIF1A
FOXP1,HIP1R
FOXP3,IL2RA
GATA1,DACH1
GATA1,EPOR
GATA1,EPOR
GATA1,F13A1
GATA1,FCER1A
GATA1,FCER1A
GATA1,FURIN
GATA1,GATA1
GATA1,GATA1
GATA1,GFI1B
GATA1,GNAS
GATA1,GP1BB
GATA1,GP1BB
GATA1,GP6
GATA1,GP9
GATA1,GP9
GATA1,GYPB
GATA1,HBG1
GATA1,HEMGN
GATA1,HEMGN
GATA1,ITGA2B
GATA1,KLF1
GATA1,NFE2
GATA1,PF4
GATA1,PRG2
GATA1,TAL1
GATA1,TBXA2R
GATA2,AR
GATA2,FCER1A
GATA2,GATA1
GATA2,GATA1
GATA2,IL1RL1
GATA2,MS4A2
GATA2,PRG2
GATA3,CD8A
GATA3,GATA3
GATA3,IFNG
GATA3,STAT4
GATA3,TGFBR3
GATA3,ZEB1
GATA6,APOA1
HBP1,CDKN1A
HDAC1,BIRC5
HDAC1,CCND1
HDAC1,CCND1
HDAC1,CCND2
HDAC1,DNMT1
HDAC1,PHB
HDAC1,RUNX3
HDAC1,RUNX3
HDAC1,RUNX3
HDAC1,TXNIP
HDAC2,APAF1
HDAC2,CDKN1A
HDAC2,PHB
HDAC2,VEGFA
HIF1A,ALDOA
HIF1A,ENO1
HIF1A,GAPDH
HIF1A,HIF1A
HIF1A,PGK1
HIF1A,SLC29A1
HIF1A,STAT3
HIVEP2,HLA-A
HLX,PAK1
HOXA10,ID2
HOXA10,MYCN
HOXA9,ID2
HOXA9,MYCN
HSF1,LDHA
IRF1,CASP7
IRF1,CCL5
IRF1,CD40
IRF1,CDK1
IRF1,CDKN1A
IRF1,CDKN1A
IRF1,CIITA
IRF1,CIITA
IRF1,CXCL10
IRF1,CYBB
IRF1,DDX58
IRF1,DST
IRF1,EIF2AK2
IRF1,ERAP2
IRF1,FASLG
IRF1,HLA-A
IRF1,HLA-G
IRF1,IFIT3
IRF1,IFNG
IRF1,IL12A
IRF1,IL27
IRF1,IRF2
IRF1,NCF2
IRF1,PSMB10
IRF1,PSMB9
IRF1,PSMB9
IRF1,TAP1
IRF1,TAP1
IRF1,TAP2
IRF1,TAPBP
IRF1,TNFSF10
IRF1,TP53
IRF1,TRIM22
IRF2,DST
IRF2,ERAP2
IRF2,TAP1
IRF3,CCL5
IRF3,PURA
IRF3,SOCS2
IRF4,FCER2
IRF4,MS4A1
IRF5,PDLIM7
IRF7,CXCL10
IRF8,CD68
IRF8,CFLAR
IRF8,CYBB
IRF8,IL12A
IRF8,IL1B
IRF8,NCF2
IRF8,NF1
IRF8,TLR4
IRF9,IFIT3
IRF9,PML
IRF9,SP100
JDP2,ATF3
JDP2,ATF3
JUN,ATF3
JUN,CCL5
JUN,CXCL8
JUN,CXCL8
JUN,DDIT3
JUN,DDX21
JUN,EZR
JUN,IFNG
JUN,IFNG
JUN,IL1B
JUN,JUN
JUN,JUN
JUN,LGALS3
JUN,NEIL1
JUN,PLAUR
JUN,PLAUR
JUN,PTGS2
JUN,PTGS2
JUN,RARG
JUN,RHOB
JUN,SMAD7
JUN,SPI1
JUN,TNF
JUN,TNF
JUN,TNFRSF10A
JUN,TNFRSF1B
JUN,VEGFA
JUNB,CDKN1A
JUNB,IL1B
JUNB,PTGS2
JUND,BCL6
JUND,BCL6
JUND,CDKN1A
JUND,GCLC
JUND,ITGAV
JUND,MDM2
JUND,MDM2
JUND,MYB
JUND,MYB
JUND,MYB
JUND,NQO2
JUND,PLAUR
JUND,PTGS2
JUND,SOX4
JUND,TGFB1
JUND,TIMP1
KLF10,CDKN1A
KLF16,CDKN1A
KLF2,CCR7
KLF2,CXCR4
KLF2,NOS3
KLF4,ATF3
KLF4,CDKN1A
KLF4,CDKN1A
KLF4,IL1B
KLF4,RARA
KLF4,THBD
KLF4,VEGFA
KLF6,ATF3
KLF6,DAPK2
KLF6,MMP9
KLF6,PMAIP1
LEF1,CTLA4
LEF1,CYLD
LEF1,CYLD
LEF1,MYC
LEF1,MYCBP
LEF1,NRCAM
LEF1,NT5E
LMO2,LYL1
MAF,CCND2
MAX,ODC1
MAZ,HRAS
MEF2A,MEF2A
MEF2C,CDKL5
MEF2C,JUN
MEF2C,JUN
MEF2C,JUN
MEF2C,NR4A1
MEF2C,VEGFA
MEF2D,ATF3
MEIS1,AR
MEIS1,ITGA9
MXI1,MYC
MXI1,MYCN
MYB,CSF3R
MYB,LMO2
MYB,MYB
MYC,AXIN2
MYC,BAG2
MYC,BCL2
MYC,CCND2
MYC,CCND2
MYC,CDK4
MYC,CDK4
MYC,CDK6
MYC,CXCR4
MYC,HNRNPA1
MYC,KRAS
MYC,MST1
MYC,NOL7
MYC,ODC1
MYC,ODC1
MYC,ST3GAL1
MYC,TFAP4
MYCN,HMGA1
MYCN,NTRK1
NFE2,GCLC
NFIB,CDKN1A
NFIC,ALAS1
NFIC,GTF3C2
NFIC,ITGA5
NFIL3,EREG
NFIL3,IL1B
NFIL3,PTGS2
NFKB1,BCL2L11
NFKB1,BCL3
NFKB1,BIRC2
NFKB1,BIRC2
NFKB1,BIRC2
NFKB1,CARM1
NFKB1,CCL2
NFKB1,CCL2
NFKB1,CCL20
NFKB1,CCL22
NFKB1,CSNK2A1
NFKB1,CXCL10
NFKB1,CXCL10
NFKB1,ELF3
NFKB1,ERAP1
NFKB1,FAS
NFKB1,FAS
NFKB1,FAS
NFKB1,FASLG
NFKB1,FASLG
NFKB1,GSK3B
NFKB1,HIF1A
NFKB1,HPSE
NFKB1,ICAM1
NFKB1,ICAM1
NFKB1,IER3
NFKB1,IL18
NFKB1,IL18
NFKB1,IL1B
NFKB1,IL1B
NFKB1,IL1RN
NFKB1,ITGAX
NFKB1,KDM2A
NFKB1,MAT2A
NFKB1,MMP14
NFKB1,NAMPT
NFKB1,NFKB1
NFKB1,NFKBIA
NFKB1,NFKBIA
NFKB1,NFKBIA
NFKB1,PTPN6
NFKB1,REPS2
NFKB1,RIPK2
NFKB1,RRM2B
NFKB1,SOCS3
NFKB1,SOD2
NFKB1,SOD2
NFKB1,TNFAIP3
NFKB1,TNFAIP3
NFKB1,TP53
NFKB1,YY1
NFKB1,YY1
NFKB2,HIF1A
NFYB,CCND2
NFYC,FAS
NR1H3,ABCA1
NR1H3,ABCA1
NR3C1,ATF2
NR3C1,BAX
NR3C1,NFKB1
NR3C1,NR3C1
NR3C1,PPIG
NR3C1,RPS6KA3
NR3C1,STAT1
NR3C1,TP53
NRL,NR2E3
PAX5,BCL2
PAX5,BLK
PAX5,CCND1
PAX5,CD19
PAX5,CD19
PAX5,FCER2
PLAGL2,NCF2
POU2AF1,SPIB
POU2F1,POU2AF1
POU2F2,HLA-DRA
POU2F2,SPI1
POU2F2,SPIB
PPARA,ACSL1
PPARA,CD36
PPARA,CPT1A
PPARG,CDKN1A
PPARG,GK
PPARG,KLF4
PPARG,SAT1
PPARG,SAT1
PRDM1,MYC
PRDM1,PCNA
RB1,ATF2
RB1,E2F3
RB1,RB1
RBPJ,NFKB1
REL,BIRC3
REL,CCL2
REL,CSRP1
REL,EPHB2
REL,ICAM1
REL,IER3
REL,IL1B
REL,IL6
REL,TNFAIP3
RELA,BCL3
RELA,CCR2
RELA,CD58
RELA,CFLAR
RELA,CFLAR
RELA,CFLAR
RELA,CXCL10
RELA,CXCL10
RELA,FBP1
RELA,HLA-A
RELA,HLA-F
RELA,ICAM1
RELA,ICAM1
RELA,IL1B
RELA,IL1B
RELA,IL1RN
RELA,IRF1
RELA,IRF1
RELA,ITGAX
RELA,JUNB
RELA,NAMPT
RELA,NFKBIA
RELA,NFKBIA
RELA,NFKBIA
RELA,NFKBIZ
RELA,POU2F2
RELA,PSMB10
RELA,PSMB9
RELA,PTPN6
RELA,RIPK2
RELA,S100A6
RELA,SERPINB1
RELA,SOD2
RELA,SOD2
RELA,STAT1
RELA,TAP1
RELA,TAPBP
RELA,TNFSF10
RELA,TNFSF10
RELA,TNFSF10
RELA,TNFSF14
RELA,XIAP
RELA,XIAP
RELA,XIAP
RELA,YY1
RELA,YY1
RELB,CD40
RFX5,HLA-DMA
RFX5,HLA-DMB
RFX5,HLA-DOA
RFX5,HLA-DOB
RFX5,HLA-DPA1
RFX5,HLA-DPB1
RFX5,HLA-DQA1
RFX5,HLA-DQA2
RFX5,HLA-DQB1
RFX5,HLA-DQB2
RFX5,HLA-DRA
RFX5,HLA-DRB1
RFX5,HLA-DRB5
RORA,NR1D1
RUNX1,PIK3CD
RUNX2,AR
RUNX2,LRP5
RUNX3,CASP3
RUNX3,CASP8
RXRA,ABCC3
RXRA,CPT1B
RXRA,THBD
SNAI1,SNAI1
SOX4,AGO1
SOX4,DICER1
SP1,ABCA1
SP1,ABCA1
SP1,ABCC1
SP1,ACO1
SP1,ACVRL1
SP1,ADAM10
SP1,ADAM17
SP1,ADAM17
SP1,GRK2
SP1,AHR
SP1,ALOX15B
SP1,ALOX5
SP1,ALOX5
SP1,APAF1
SP1,APP
SP1,APP
SP1,ATF2
SP1,ATP2A2
SP1,ATP2A2
SP1,ATP2C1
SP1,B4GALT1
SP1,B4GALT5
SP1,BAX
SP1,BRD7
SP1,BRD7
SP1,CASP3
SP1,CAT
SP1,CBFB
SP1,CD1D
SP1,CD44
SP1,ADGRE5
SP1,CDKN1A
SP1,CDKN1A
SP1,CDKN1A
SP1,CDKN2B
SP1,CERS2
SP1,CIC
SP1,CREB1
SP1,CSNK2A1
SP1,CTSB
SP1,CTSL
SP1,CYP1B1
SP1,DDB1
SP1,DPYSL2
SP1,EGR1
SP1,EGR1
SP1,ELF4
SP1,FAS
SP1,FAS
SP1,FASLG
SP1,FASLG
SP1,FES
SP1,FMR1
SP1,FMR1
SP1,FOS
SP1,FXR2
SP1,GCLC
SP1,GM2A
SP1,HBEGF
SP1,HDAC4
SP1,HGF
SP1,ICAM1
SP1,INSR
SP1,INSR
SP1,IRF5
SP1,IRS2
SP1,IRS2
SP1,ITGA5
SP1,ITGAV
SP1,ITGAV
SP1,ITGB2
SP1,KCTD11
SP1,LDLR
SP1,LMO4
SP1,MAT2A
SP1,MAT2A
SP1,MAT2B
SP1,MCTS1
SP1,MDM2
SP1,MDM2
SP1,ME1
SP1,MMP14
SP1,MMP14
SP1,NF1
SP1,NFKB1
SP1,NFKB2
SP1,OAT
SP1,P2RX4
SP1,P4HA1
SP1,PDGFC
SP1,PLAA
SP1,PLAUR
SP1,PLAUR
SP1,POR
SP1,POR
SP1,POR
SP1,PRKCE
SP1,PRNP
SP1,PRNP
SP1,PSEN1
SP1,PTEN
SP1,PTGIR
SP1,PTGS2
SP1,PTGS2
SP1,RARA
SP1,RELA
SP1,RELA
SP1,SGPL1
SP1,SIRT1
SP1,SLC19A1
SP1,SLC29A1
SP1,SLC39A1
SP1,SLC4A2
SP1,SOD2
SP1,SOD2
SP1,SP3
SP1,SQSTM1
SP1,SRC
SP1,STK11
SP1,THBD
SP1,THBD
SP1,TIMP1
SP1,TIMP1
SP1,TIMP2
SP1,TMPO
SP1,USP7
SP1,UTRN
SP1,VDR
SP1,VEGFA
SP1,VEGFA
SP1,VEGFA
SP1,VIM
SP1,XIAP
SP1,YY1
SP2,MAT2A
SP3,ABCA1
SP3,ABCA1
SP3,ATP2A2
SP3,CDKN2B
SP3,ETF1
SP3,HBEGF
SP3,HDAC4
SP3,HGF
SP3,ITGAV
SP3,MAT2A
SP3,MSH6
SP3,NFKB1
SP3,PLAUR
SP3,RELA
SP3,TIMP2
SP3,UTRN
SP3,VEGFA
SP3,YY1
SPI1,BCL6
SPI1,BPI
SPI1,BTK
SPI1,CCL2
SPI1,CD163
SPI1,CD40
SPI1,CD68
SPI1,CLEC4G
SPI1,CSF3R
SPI1,CSF3R
SPI1,CTSK
SPI1,CTSS
SPI1,CYBB
SPI1,CYBB
SPI1,DAPK2
SPI1,ELANE
SPI1,ERAP2
SPI1,FCER1A
SPI1,FCER1A
SPI1,FCGR1A
SPI1,FES
SPI1,FLI1
SPI1,HCK
SPI1,IFIT3
SPI1,IL18
SPI1,IL1B
SPI1,IL1B
SPI1,ITGAM
SPI1,ITGAX
SPI1,ITGAX
SPI1,ITGB2
SPI1,ITGB2
SPI1,MNDA
SPI1,MSR1
SPI1,NCF2
SPI1,NCF2
SPI1,NSFL1C
SPI1,PTGIR
SPI1,RNASE2
SPI1,SCARB1
SPI1,SCARB2
SPI1,STAT3
SPI1,TLR4
SPI1,TLR4
SPI1,WAS
SPIB,CD40
SPIB,IRF7
SREBF1,HMOX1
SREBF1,LDLR
SREBF1,LDLR
SREBF2,FDFT1
SREBF2,FDPS
SREBF2,HMGCR
SREBF2,HMGCR
SREBF2,LDLR
SRF,SAMD4A
STAT1,APP
STAT1,CCL2
STAT1,CCR1
STAT1,CD40
STAT1,CD40LG
STAT1,CD86
STAT1,CDKN1A
STAT1,CIITA
STAT1,CIITA
STAT1,CTSB
STAT1,CTSL
STAT1,CXCL10
STAT1,CXCL10
STAT1,FAS
STAT1,FCGR1A
STAT1,HMOX1
STAT1,HSP90AA1
STAT1,ICAM1
STAT1,IFIT3
STAT1,IL1B
STAT1,IL27
STAT1,IRF1
STAT1,IRF1
STAT1,IRF1
STAT1,IRF7
STAT1,IRF8
STAT1,JAK2
STAT1,LY96
STAT1,MMP9
STAT1,MVP
STAT1,PLSCR1
STAT1,PML
STAT1,PML
STAT1,PPARA
STAT1,PRKCE
STAT1,PSMB9
STAT1,PTGS2
STAT1,PTGS2
STAT1,S100A10
STAT1,SMARCA4
STAT1,SOCS3
STAT1,STAT2
STAT1,STAT3
STAT1,TAP1
STAT1,TIMP1
STAT1,TNFSF13B
STAT1,TP53
STAT1,TP53
STAT1,UPP1
STAT1,XAF1
STAT2,CCL2
STAT2,IFIT3
STAT2,IRF1
STAT2,PML
STAT2,PTGS2
STAT2,RCAN1
STAT2,SCARB1
STAT2,SCARB2
STAT2,STAT1
STAT3,CCL2
STAT3,CD46
STAT3,CDKN1A
STAT3,CDKN1A
STAT3,CFLAR
STAT3,DNMT1
STAT3,DNMT1
STAT3,FAS
STAT3,FAS
STAT3,HIF1A
STAT3,HIF1A
STAT3,HP
STAT3,IRF1
STAT3,IRF1
STAT3,JAK2
STAT3,JAK2
STAT3,JUNB
STAT3,KLF11
STAT3,MMP14
STAT3,PTGS2
STAT3,PTGS2
STAT3,SOCS3
STAT3,SOCS3
STAT3,STAT1
STAT3,STK11
STAT3,VEGFA
STAT3,VEGFA
STAT3,VEGFA
STAT3,VEGFA
STAT5B,BCL2L1
STAT6,CD40
TAF1,SRC
TAL1,CD34
TAL1,EPOR
TAL1,ERG
TAL1,MYB
TAL1,MYCN
TBX21,CXCR3
TBX21,IFNG
TBX21,IFNG
TCF3,CR2
TCF4,CCND1
TCF4,CCND1
TCF4,CLEC4C
TCF4,CNTNAP2
TCF7L2,CTNNB1
TCF7L2,HECA
TFDP1,CDK1
TFDP1,MYBL2
TFDP1,NRIP1
TFDP1,PCNA
TFDP1,TYMS
TP53,CTNNB1
TP53,IER3
TP53,IPO7
TP53,MDM2
TP53,MDM2
TP53,MDM4
TP53,PLAGL1
TP53,TP53
TP53,TP53
TP53,TP53I3
TP53,TP53I3
TP53,TYMS
USF1,EXT1
USF1,NFKB1
USF1,SLC19A1
USF2,ASPH
USF2,FCER1A
USF2,MYH9
USF2,PF4
USF2,POU2F1
USF2,TGFB1
USF2,TGFB1
VDR,CD14
VDR,CDKN1A
VDR,PLD1
XBP1,ERN1
XBP1,HSPA5
XBP1,HSPA5
XBP1,PRNP
YBX1,CDC20
YBX1,CKS2
YBX1,E2F1
YBX1,FAS
YBX1,KPNA2
YBX1,TOP2A
YY1,APH1A
YY1,COX6A1
YY1,COX7C
YY1,CREBBP
YY1,CREBBP
YY1,CTCF
YY1,DEK
YY1,ERCC5
YY1,FAS
YY1,GNAS
YY1,HCFC1
YY1,HDAC2
YY1,LDLR
YY1,NF1
YY1,NR3C1
YY1,PCNA
YY1,PCNA
YY1,SAP30
YY1,TOP3A
YY1,TP53
YY1,TP53
YY1,TP53
ZEB1,AR
ZFHX3,CDKN1A
